color,date
green,2021-01-20
green,2021-02-27
green,2021-02-28
green,2021-03-03
green,2021-03-09
yellow,2021-04-19
green,2021-04-20
green,2021-04-21
green,2021-04-22
green,2021-04-23
green,2021-04-25
green,2021-04-26
yellow,2021-05-07
green,2021-05-08
green,2021-05-09
green,2021-05-12
green,2021-05-18
green,2021-05-21
yellow,2021-05-22
yellow,2021-05-23
green,2021-05-26
green,2021-05-27
green,2021-05-28
green,2021-05-29
green,2021-06-01
green,2021-06-08
green,2021-06-09
green,2021-06-10
green,2021-06-23
green,2021-06-25
green,2021-06-28
green,2021-06-30
red,2021-07-03
yellow,2021-07-04
green,2021-07-05
green,2021-07-06
green,2021-07-09
green,2021-07-16
green,2021-07-19
green,2021-07-21
green,2021-07-24
green,2021-08-09
green,2021-08-13
green,2021-08-20
green,2021-08-22
green,2021-08-24
green,2021-08-25
green,2021-08-26
green,2021-08-27
green,2021-09-08
yellow,2021-08-28
green,2021-08-29
green,2021-08-30
green,2021-09-01
green,2021-09-02
green,2021-09-07
green,2021-09-09
green,2021-09-10
green,2021-09-11
green,2021-09-14
green,2021-09-17
green,2021-09-18
green,2021-09-19
green,2021-09-21
green,2021-09-22
yellow,2021-09-23
green,2021-09-24
green,2021-09-25
green,2021-09-26
green,2021-09-28
green,2021-09-29
green,2021-09-30
green,2021-10-02
green,2021-10-03
green,2021-10-07
green,2021-10-08
yellow,2021-10-09
green,2021-10-10
green,2021-10-13
green,2021-10-14
green,2021-10-25
yellow,2021-10-26
green,2021-10-27
red,2021-10-28
yellow,2021-10-29
green,2021-10-30
green,2021-10-31
yellow,2021-11-01
yellow,2021-11-02
green,2021-11-03
green,2021-11-04
green,2021-11-05
green,2021-11-06
green,2021-11-08
yellow,2021-11-09
green,2021-11-13
green,2021-12-04
yellow,2021-12-05
green,2021-12-06
green,2021-12-12
green,2021-12-14
green,2021-12-15
green,2021-12-16
yellow,2021-12-17
green,2021-12-18
green,2021-12-19
yellow,2021-12-20
yellow,2021-12-21
yellow,2021-12-22
green,2021-12-23
green,2021-12-24
green,2021-12-25
green,2021-12-26
green,2021-12-27
yellow,2021-12-28
green,2021-12-29
green,2021-12-31
