event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,cls,clx,date
2024-01-01 01:34:00,2024-01-01 01:38:00,2024-01-01 01:42:00,C4.1,0,C,C,2024-01-01
2024-01-01 07:51:00,2024-01-01 08:06:00,2024-01-01 08:20:00,C4.7,0,C,C,2024-01-01
2024-01-01 08:33:00,2024-01-01 08:54:00,2024-01-01 09:04:00,M2.3,0,M,M,2024-01-01
2024-01-01 10:15:00,2024-01-01 10:20:00,2024-01-01 10:25:00,C1.9,0,C,C,2024-01-01
2024-01-01 11:54:00,2024-01-01 12:25:00,2024-01-01 12:35:00,M4.7,0,M,M,2024-01-01
2024-01-01 16:17:00,2024-01-01 16:28:00,2024-01-01 16:46:00,C2.6,0,C,C,2024-01-01
2024-01-01 16:47:00,2024-01-01 17:04:00,2024-01-01 17:16:00,C5.7,0,C,C,2024-01-01
2024-01-01 18:30:00,2024-01-01 18:41:00,2024-01-01 18:53:00,C1.3,0,C,C,2024-01-01
2024-01-02 00:41:00,2024-01-02 00:49:00,2024-01-02 01:14:00,C1.5,0,C,C,2024-01-02
2024-01-02 04:31:00,2024-01-02 04:37:00,2024-01-02 04:45:00,C1.5,0,C,C,2024-01-02
2024-01-02 05:51:00,2024-01-02 06:06:00,2024-01-02 06:36:00,C1.4,13536,C,C,2024-01-02
2024-01-02 06:38:00,2024-01-02 06:51:00,2024-01-02 07:01:00,C2.0,0,C,C,2024-01-02
2024-01-02 07:10:00,2024-01-02 07:15:00,2024-01-02 07:19:00,C2.0,0,C,C,2024-01-02
2024-01-02 09:21:00,2024-01-02 09:32:00,2024-01-02 09:38:00,C2.8,13536,C,C,2024-01-02
2024-01-02 09:48:00,2024-01-02 09:52:00,2024-01-02 09:56:00,C2.5,0,C,C,2024-01-02
2024-01-02 10:22:00,2024-01-02 10:30:00,2024-01-02 10:36:00,C1.2,0,C,C,2024-01-02
2024-01-02 13:42:00,2024-01-02 13:45:00,2024-01-02 13:49:00,C1.2,0,C,C,2024-01-02
2024-01-03 02:54:00,2024-01-03 02:59:00,2024-01-03 03:05:00,C1.2,0,C,C,2024-01-03
2024-01-03 10:00:00,2024-01-03 10:10:00,2024-01-03 10:14:00,C1.8,0,C,C,2024-01-03
2024-01-03 10:14:00,2024-01-03 10:18:00,2024-01-03 10:24:00,C3.0,0,C,C,2024-01-03
2024-01-03 13:29:00,2024-01-03 13:34:00,2024-01-03 13:44:00,C1.3,0,C,C,2024-01-03
2024-01-03 14:42:00,2024-01-03 14:57:00,2024-01-03 15:15:00,C1.8,0,C,C,2024-01-03
2024-01-03 16:13:00,2024-01-03 16:21:00,2024-01-03 16:28:00,C1.3,0,C,C,2024-01-03
2024-01-03 16:49:00,2024-01-03 16:56:00,2024-01-03 17:08:00,C1.5,0,C,C,2024-01-03
2024-01-04 00:13:00,2024-01-04 00:25:00,2024-01-04 00:51:00,C2.1,0,C,C,2024-01-04
2024-01-04 01:08:00,2024-01-04 01:16:00,2024-01-04 01:22:00,M1.1,0,M,M,2024-01-04
2024-01-04 01:22:00,2024-01-04 01:55:00,2024-01-04 02:12:00,M3.8,0,M,M,2024-01-04
2024-01-04 07:19:00,2024-01-04 07:28:00,2024-01-04 07:48:00,C1.5,0,C,C,2024-01-04
2024-01-04 08:55:00,2024-01-04 09:06:00,2024-01-04 09:16:00,C1.7,0,C,C,2024-01-04
2024-01-04 09:16:00,2024-01-04 09:36:00,2024-01-04 09:42:00,C3.0,0,C,C,2024-01-04
2024-01-04 10:20:00,2024-01-04 10:30:00,2024-01-04 10:35:00,C2.2,0,C,C,2024-01-04
2024-01-04 17:20:00,2024-01-04 17:31:00,2024-01-04 17:39:00,C3.3,0,C,C,2024-01-04
2024-01-05 00:23:00,2024-01-05 00:30:00,2024-01-05 00:32:00,C1.9,0,C,C,2024-01-05
2024-01-05 00:32:00,2024-01-05 00:52:00,2024-01-05 01:08:00,C3.2,0,C,C,2024-01-05
2024-01-05 02:43:00,2024-01-05 02:51:00,2024-01-05 02:56:00,C1.7,0,C,C,2024-01-05
2024-01-05 04:18:00,2024-01-05 04:25:00,2024-01-05 04:30:00,C1.6,0,C,C,2024-01-05
2024-01-05 07:55:00,2024-01-05 08:09:00,2024-01-05 08:19:00,C3.7,13534,C,C,2024-01-05
2024-01-05 12:49:00,2024-01-05 12:56:00,2024-01-05 13:00:00,C1.4,0,C,C,2024-01-05
2024-01-06 00:41:00,2024-01-06 00:52:00,2024-01-06 01:00:00,C1.7,0,C,C,2024-01-06
2024-01-06 04:31:00,2024-01-06 04:50:00,2024-01-06 05:02:00,C5.2,0,C,C,2024-01-06
2024-01-06 05:28:00,2024-01-06 05:37:00,2024-01-06 05:41:00,C3.3,0,C,C,2024-01-06
2024-01-06 05:41:00,2024-01-06 05:47:00,2024-01-06 05:53:00,C3.8,0,C,C,2024-01-06
2024-01-06 05:53:00,2024-01-06 05:59:00,2024-01-06 06:04:00,C4.1,0,C,C,2024-01-06
2024-01-06 07:42:00,2024-01-06 07:47:00,2024-01-06 07:52:00,C2.9,0,C,C,2024-01-06
2024-01-06 08:17:00,2024-01-06 08:25:00,2024-01-06 08:31:00,C3.0,0,C,C,2024-01-06
2024-01-06 10:53:00,2024-01-06 10:58:00,2024-01-06 11:02:00,C2.1,0,C,C,2024-01-06
2024-01-06 11:38:00,2024-01-06 11:44:00,2024-01-06 11:54:00,C2.5,0,C,C,2024-01-06
2024-01-06 15:27:00,2024-01-06 15:35:00,2024-01-06 15:40:00,C7.1,0,C,C,2024-01-06
2024-01-06 16:26:00,2024-01-06 16:33:00,2024-01-06 16:40:00,C2.3,0,C,C,2024-01-06
2024-01-06 17:13:00,2024-01-06 17:21:00,2024-01-06 17:25:00,C2.1,0,C,C,2024-01-06
2024-01-06 18:26:00,2024-01-06 18:40:00,2024-01-06 18:43:00,C3.4,13538,C,C,2024-01-06
2024-01-06 18:43:00,2024-01-06 18:50:00,2024-01-06 18:57:00,C4.3,13538,C,C,2024-01-06
2024-01-06 19:27:00,2024-01-06 19:36:00,2024-01-06 19:40:00,C4.5,0,C,C,2024-01-06
2024-01-06 20:02:00,2024-01-06 20:06:00,2024-01-06 20:12:00,C2.6,0,C,C,2024-01-06
2024-01-07 01:52:00,2024-01-07 02:22:00,2024-01-07 02:24:00,C2.3,0,C,C,2024-01-07
2024-01-07 02:24:00,2024-01-07 02:29:00,2024-01-07 02:37:00,C2.3,0,C,C,2024-01-07
2024-01-07 04:11:00,2024-01-07 04:18:00,2024-01-07 04:24:00,C1.6,13540,C,C,2024-01-07
2024-01-07 05:17:00,2024-01-07 05:29:00,2024-01-07 05:41:00,C2.7,13536,C,C,2024-01-07
2024-01-07 05:57:00,2024-01-07 06:05:00,2024-01-07 06:25:00,C2.4,13536,C,C,2024-01-07
2024-01-07 06:27:00,2024-01-07 06:36:00,2024-01-07 06:44:00,C3.1,0,C,C,2024-01-07
2024-01-07 07:31:00,2024-01-07 07:48:00,2024-01-07 07:52:00,C5.6,0,C,C,2024-01-07
2024-01-07 07:52:00,2024-01-07 07:56:00,2024-01-07 08:00:00,C6.3,13536,C,C,2024-01-07
2024-01-07 08:26:00,2024-01-07 08:33:00,2024-01-07 08:42:00,C3.2,13536,C,C,2024-01-07
2024-01-07 09:58:00,2024-01-07 10:05:00,2024-01-07 10:09:00,C2.2,0,C,C,2024-01-07
2024-01-07 10:09:00,2024-01-07 10:16:00,2024-01-07 10:30:00,C3.0,0,C,C,2024-01-07
2024-01-07 10:44:00,2024-01-07 10:51:00,2024-01-07 10:56:00,C2.9,0,C,C,2024-01-07
2024-01-07 13:29:00,2024-01-07 13:42:00,2024-01-07 13:55:00,C4.2,0,C,C,2024-01-07
2024-01-07 15:16:00,2024-01-07 15:20:00,2024-01-07 15:30:00,C1.7,0,C,C,2024-01-07
2024-01-07 17:41:00,2024-01-07 17:44:00,2024-01-07 17:49:00,C3.8,0,C,C,2024-01-07
2024-01-08 02:48:00,2024-01-08 02:52:00,2024-01-08 02:59:00,C2.4,0,C,C,2024-01-08
2024-01-08 08:00:00,2024-01-08 08:07:00,2024-01-08 08:13:00,C1.7,0,C,C,2024-01-08
2024-01-08 08:13:00,2024-01-08 08:24:00,2024-01-08 08:38:00,C2.8,0,C,C,2024-01-08
2024-01-08 09:46:00,2024-01-08 09:59:00,2024-01-08 10:15:00,C7.3,0,C,C,2024-01-08
2024-01-09 02:43:00,2024-01-09 02:49:00,2024-01-09 02:55:00,C1.9,0,C,C,2024-01-09
2024-01-09 04:01:00,2024-01-09 04:11:00,2024-01-09 04:14:00,C3.1,0,C,C,2024-01-09
2024-01-09 08:36:00,2024-01-09 08:50:00,2024-01-09 08:59:00,C2.5,0,C,C,2024-01-09
2024-01-09 11:07:00,2024-01-09 11:23:00,2024-01-09 11:34:00,C3.8,0,C,C,2024-01-09
2024-01-09 14:46:00,2024-01-09 14:54:00,2024-01-09 14:57:00,C1.9,0,C,C,2024-01-09
2024-01-09 14:57:00,2024-01-09 15:03:00,2024-01-09 15:07:00,C1.9,0,C,C,2024-01-09
2024-01-09 17:02:00,2024-01-09 17:10:00,2024-01-09 17:19:00,C2.7,0,C,C,2024-01-09
2024-01-09 19:00:00,2024-01-09 19:05:00,2024-01-09 19:13:00,C1.8,0,C,C,2024-01-09
2024-01-09 19:32:00,2024-01-09 19:36:00,2024-01-09 19:43:00,C3.9,0,C,C,2024-01-09
2024-01-10 02:02:00,2024-01-10 02:12:00,2024-01-10 02:30:00,C3.3,0,C,C,2024-01-10
2024-01-10 02:40:00,2024-01-10 02:46:00,2024-01-10 02:50:00,C3.2,0,C,C,2024-01-10
