event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,cls,clx,date
2021-01-20 12:35:00,2021-01-20 12:53:00,2021-01-20 12:59:00,C1.4,12798,C,C,2021-01-20
2021-02-27 17:51:00,2021-02-27 18:00:00,2021-02-27 18:05:00,C2.7,12804,C,C,2021-02-27
2021-02-28 06:40:00,2021-02-28 06:46:00,2021-02-28 06:51:00,C3.9,12804,C,C,2021-02-28
2021-03-02 23:53:00,2021-03-03 00:03:00,2021-03-03 00:07:00,C1.2,12807,C,C,2021-03-03
2021-03-02 23:53:00,2021-03-03 00:03:00,2021-03-03 00:07:00,C1.2,12807,C,C,2021-03-03
2021-03-09 12:15:00,2021-03-09 12:35:00,2021-03-09 12:42:00,C1.6,12808,C,C,2021-03-09
2021-04-19 23:19:00,2021-04-19 23:42:00,2021-04-19 23:59:00,M1.1,12816,M,M,2021-04-19
2021-04-20 11:51:00,2021-04-20 12:15:00,2021-04-20 12:38:00,C1.9,12817,C,C,2021-04-20
2021-04-21 01:18:00,2021-04-21 01:29:00,2021-04-21 01:41:00,C1.5,12817,C,C,2021-04-21
2021-04-22 04:10:00,2021-04-22 04:35:00,2021-04-22 05:00:00,C3.8,12816,C,C,2021-04-22
2021-04-22 05:00:00,2021-04-22 05:06:00,2021-04-22 05:10:00,C2.7,12816,C,C,2021-04-22
2021-04-22 05:50:00,2021-04-22 05:57:00,2021-04-22 06:02:00,C1.7,12817,C,C,2021-04-22
2021-04-22 07:16:00,2021-04-22 07:23:00,2021-04-22 07:27:00,C2.3,12817,C,C,2021-04-22
2021-04-22 09:14:00,2021-04-22 09:21:00,2021-04-22 09:41:00,C4.3,12817,C,C,2021-04-22
2021-04-22 10:03:00,2021-04-22 10:08:00,2021-04-22 10:14:00,C1.4,12817,C,C,2021-04-22
2021-04-22 10:40:00,2021-04-22 10:49:00,2021-04-22 11:03:00,C3.7,12817,C,C,2021-04-22
2021-04-22 12:18:00,2021-04-22 12:27:00,2021-04-22 12:42:00,C2.8,12816,C,C,2021-04-22
2021-04-22 14:13:00,2021-04-22 14:30:00,2021-04-22 14:43:00,C2.5,12816,C,C,2021-04-22
2021-04-22 20:02:00,2021-04-22 20:11:00,2021-04-22 20:20:00,C8.5,12817,C,C,2021-04-22
2021-04-23 01:32:00,2021-04-23 01:52:00,2021-04-23 02:02:00,C1.3,12817,C,C,2021-04-23
2021-04-23 02:37:00,2021-04-23 02:52:00,2021-04-23 03:02:00,C1.4,12817,C,C,2021-04-23
2021-04-23 06:14:00,2021-04-23 06:28:00,2021-04-23 06:41:00,C1.4,12816,C,C,2021-04-23
2021-04-23 22:39:00,2021-04-23 22:54:00,2021-04-23 23:08:00,C2.2,12817,C,C,2021-04-23
2021-04-23 23:08:00,2021-04-23 23:12:00,2021-04-23 23:16:00,C2.4,12817,C,C,2021-04-23
2021-04-25 01:17:00,2021-04-25 01:35:00,2021-04-25 01:51:00,C2.6,12816,C,C,2021-04-25
2021-04-26 02:22:00,2021-04-26 02:30:00,2021-04-26 02:35:00,C1.3,12816,C,C,2021-04-26
2021-05-07 18:43:00,2021-05-07 19:04:00,2021-05-07 19:19:00,M3.9,12822,M,M,2021-05-07
2021-05-08 12:33:00,2021-05-08 13:00:00,2021-05-08 13:19:00,C1.5,12822,C,C,2021-05-08
2021-05-08 18:22:00,2021-05-08 18:45:00,2021-05-08 18:58:00,C8.6,12822,C,C,2021-05-08
2021-05-09 04:18:00,2021-05-09 04:36:00,2021-05-09 04:42:00,C1.6,12822,C,C,2021-05-09
2021-05-09 13:38:00,2021-05-09 13:58:00,2021-05-09 14:09:00,C4.0,12822,C,C,2021-05-09
2021-05-09 14:20:00,2021-05-09 14:49:00,2021-05-09 15:25:00,C2.0,12822,C,C,2021-05-09
