event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,cls,clx,date
2022-12-31 23:47:00,2022-12-31 23:55:00,2023-01-01 00:03:00,C1.6,0,C,C,2022-12-31
2023-01-01 00:31:00,2023-01-01 00:35:00,2023-01-01 00:41:00,C1.6,0,C,C,2023-01-01
2023-01-01 02:04:00,2023-01-01 02:28:00,2023-01-01 02:41:00,C3.7,0,C,C,2023-01-01
2023-01-01 06:56:00,2023-01-01 07:02:00,2023-01-01 07:06:00,C1.7,0,C,C,2023-01-01
2023-01-01 07:35:00,2023-01-01 07:44:00,2023-01-01 07:50:00,C1.9,0,C,C,2023-01-01
2023-01-01 14:16:00,2023-01-01 14:30:00,2023-01-01 14:35:00,C1.7,0,C,C,2023-01-01
2023-01-01 17:43:00,2023-01-01 17:52:00,2023-01-01 18:09:00,C1.8,0,C,C,2023-01-01
2023-01-01 19:31:00,2023-01-01 19:35:00,2023-01-01 19:43:00,C1.1,0,C,C,2023-01-01
2023-01-01 22:09:00,2023-01-01 22:16:00,2023-01-01 22:26:00,C1.1,0,C,C,2023-01-01
2023-01-01 22:52:00,2023-01-01 23:16:00,2023-01-01 23:26:00,C3.1,0,C,C,2023-01-01
2023-01-02 05:22:00,2023-01-02 05:29:00,2023-01-02 05:37:00,C1.6,0,C,C,2023-01-02
2023-01-02 06:09:00,2023-01-02 06:21:00,2023-01-02 06:26:00,C9.4,0,C,C,2023-01-02
2023-01-02 09:44:00,2023-01-02 09:56:00,2023-01-02 10:07:00,C2.8,13180,C,C,2023-01-02
2023-01-02 11:30:00,2023-01-02 11:39:00,2023-01-02 11:41:00,C2.3,0,C,C,2023-01-02
2023-01-02 11:41:00,2023-01-02 11:52:00,2023-01-02 12:08:00,C3.0,0,C,C,2023-01-02
2023-01-02 16:02:00,2023-01-02 16:08:00,2023-01-02 16:14:00,C1.1,0,C,C,2023-01-02
2023-01-02 21:37:00,2023-01-02 21:43:00,2023-01-02 21:47:00,C1.8,0,C,C,2023-01-02
2023-01-02 22:10:00,2023-01-02 22:16:00,2023-01-02 22:20:00,C2.0,0,C,C,2023-01-02
2023-01-02 22:57:00,2023-01-02 23:11:00,2023-01-02 23:32:00,C3.2,0,C,C,2023-01-02
2023-01-03 01:03:00,2023-01-03 01:10:00,2023-01-03 01:18:00,C1.1,0,C,C,2023-01-03
2023-01-03 04:51:00,2023-01-03 04:58:00,2023-01-03 05:02:00,C2.7,0,C,C,2023-01-03
2023-01-03 06:20:00,2023-01-03 06:46:00,2023-01-03 07:05:00,C3.2,0,C,C,2023-01-03
2023-01-03 07:42:00,2023-01-03 10:36:00,2023-01-03 12:33:00,C4.0,0,C,C,2023-01-03
